"Label (Grouping)","San Francisco city, California"
"Total:","873,965"
"    Population of one race:","787,732"
"        White alone","361,382"
"        Black or African American alone","46,725"
"        American Indian and Alaska Native alone","6,475"
"        Asian alone","296,505"
"        Native Hawaiian and Other Pacific Islander alone","3,476"
"        Some Other Race alone","73,169"
"    Population of two or more races:","86,233"
"        Population of two races:","78,402"
"            White; Black or African American","5,604"
"            White; American Indian and Alaska Native","4,648"
"            White; Asian","23,405"
"            White; Native Hawaiian and Other Pacific Islander","712"
"            White; Some Other Race","35,545"
"            Black or African American; American Indian and Alaska Native","911"
"            Black or African American; Asian","1,478"
"            Black or African American; Native Hawaiian and Other Pacific Islander","315"
"            Black or African American; Some Other Race","1,374"
"            American Indian and Alaska Native; Asian","297"
"            American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander","35"
"            American Indian and Alaska Native; Some Other Race","1,236"
"            Asian; Native Hawaiian and Other Pacific Islander","1,292"
"            Asian; Some Other Race","1,440"
"            Native Hawaiian and Other Pacific Islander; Some Other Race","110"
"        Population of three races:","6,787"
"            White; Black or African American; American Indian and Alaska Native","956"
"            White; Black or African American; Asian","576"
"            White; Black or African American; Native Hawaiian and Other Pacific Islander","34"
"            White; Black or African American; Some Other Race","651"
"            White; American Indian and Alaska Native; Asian","481"
"            White; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander","35"
"            White; American Indian and Alaska Native; Some Other Race","1,901"
"            White; Asian; Native Hawaiian and Other Pacific Islander","682"
"            White; Asian; Some Other Race","1,011"
"            White; Native Hawaiian and Other Pacific Islander; Some Other Race","51"
"            Black or African American; American Indian and Alaska Native; Asian","89"
"            Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander","15"
"            Black or African American; American Indian and Alaska Native; Some Other Race","74"
"            Black or African American; Asian; Native Hawaiian and Other Pacific Islander","72"
"            Black or African American; Asian; Some Other Race","71"
"            Black or African American; Native Hawaiian and Other Pacific Islander; Some Other Race","8"
"            American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander","27"
"            American Indian and Alaska Native; Asian; Some Other Race","21"
"            American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race","0"
"            Asian; Native Hawaiian and Other Pacific Islander; Some Other Race","32"
"        Population of four races:","899"
"            White; Black or African American; American Indian and Alaska Native; Asian","188"
"            White; Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander","24"
"            White; Black or African American; American Indian and Alaska Native; Some Other Race","392"
"            White; Black or African American; Asian; Native Hawaiian and Other Pacific Islander","25"
"            White; Black or African American; Asian; Some Other Race","108"
"            White; Black or African American; Native Hawaiian and Other Pacific Islander; Some Other Race","0"
"            White; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander","27"
"            White; American Indian and Alaska Native; Asian; Some Other Race","86"
"            White; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race","4"
"            White; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race","37"
"            Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander","3"
"            Black or African American; American Indian and Alaska Native; Asian; Some Other Race","5"
"            Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race","0"
"            Black or African American; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race","0"
"            American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race","0"
"        Population of five races:","122"
"            White; Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander","40"
"            White; Black or African American; American Indian and Alaska Native; Asian; Some Other Race","71"
"            White; Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race","8"
"            White; Black or African American; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race","0"
"            White; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race","3"
"            Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race","0"
"        Population of six races:","23"
"            White; Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race","23"